size,method,avg_time,std_time,min_time,max_time,avg_memory_mb,max_memory_mb
10,Basic O(n³),0.00022213331734140715,3.931497111220287e-05,0.0001713999081403017,0.0002672000555321574,0.0,0.0
10,NumPy (BLAS),6.433304709692796e-06,6.205570722155927e-06,1.700012944638729e-06,1.5199999324977398e-05,0.0,0.0
10,Strassen,9.66666266322136e-06,3.4921882969664037e-06,5.00003807246685e-06,1.3399985618889332e-05,0.0,0.0
10,Cache Optimized,2.1566675665477913e-05,1.2775019959795138e-05,1.1600088328123093e-05,3.9599952287971973e-05,0.0,0.0
10,Transpose Method,0.0003638333485772212,7.85545300583344e-06,0.00035640003625303507,0.0003746999427676201,0.0,0.0
50,Basic O(n³),0.011161333338047067,0.0006636042993808577,0.010481400066055357,0.012061499990522861,0.01953125,0.04296875
50,NumPy (BLAS),2.9733326906959217e-05,1.832124390520486e-05,1.550000160932541e-05,5.559995770454407e-05,0.0,0.0
50,Strassen,4.326668567955494e-05,3.3024851446973644e-05,1.5700003132224083e-05,8.969998452812433e-05,0.013020833333333334,0.01953125
50,Cache Optimized,6.706671168406804e-05,3.9630278534474956e-05,2.6900088414549828e-05,0.00012099999003112316,0.006510416666666667,0.01953125
50,Transpose Method,0.04507793334778398,0.003341273973849039,0.04264480003621429,0.04980250005610287,0.0,0.0
100,Basic O(n³),0.07808253332041204,0.0010518861373976253,0.07660699996631593,0.07898399990517646,0.12239583333333333,0.28515625
100,NumPy (BLAS),0.00010969994279245536,4.989477596683079e-05,6.639992352575064e-05,0.00017959997057914734,0.06640625,0.1328125
100,Strassen,0.0003961666564767559,0.00010881062739011853,0.00027550000231713057,0.0005392000311985612,0.18880208333333334,0.37890625
100,Cache Optimized,0.00016233328885088363,6.939245284374064e-05,9.429990313947201e-05,0.00025759998243302107,0.12630208333333334,0.3046875
100,Transpose Method,0.32029323338065296,0.003046892266636578,0.31773380003869534,0.3245750000933185,0.0,0.0
250,Basic O(n³),1.4100320332994063,0.1512785784395324,1.1999086999567226,1.5499355000210926,1.4466145833333333,3.92578125
250,NumPy (BLAS),0.0006240000172207753,0.00017438576086755076,0.0004665000597015023,0.000867099966853857,0.41015625,0.75
250,Strassen,0.004693133329662184,0.000598209139663986,0.003996299928985536,0.005456999992020428,0.3372395833333333,0.5078125
250,Cache Optimized,0.001562366650129358,0.0001575759769760422,0.0014233000110834837,0.001782699953764677,0.3177083333333333,0.48046875
250,Transpose Method,5.288225866660166,0.10321981654386057,5.178631399990991,5.426529300049879,0.16145833333333334,0.484375
500,Basic O(n³),10.477730733342469,0.38993907442467657,10.191335799987428,11.0290485000005,1.7057291666666667,4.24609375
500,NumPy (BLAS),0.0032060666708275676,9.836021161339577e-05,0.00306979997549206,0.003298399969935417,0.8658854166666666,2.59765625
500,Strassen,0.05017393334613492,0.024228332595276382,0.03226040001027286,0.08442590001504868,0.5846354166666666,1.75390625
500,Cache Optimized,0.011677166641068956,0.0004691601258519886,0.01102159998845309,0.012093500001356006,1.1484375,3.4453125
500,Transpose Method,39.33759123335282,0.36126336172180057,39.06735160003882,39.84820370003581,0.6158854166666666,1.84765625
1000,NumPy (BLAS),0.024557566658283275,0.0016573827858413464,0.02261230000294745,0.026662599993869662,3.03515625,9.10546875
1000,Strassen,0.18913643329869956,0.0017336928162333552,0.18782079999800771,0.19158599991351366,2.6393229166666665,7.91796875
1000,Cache Optimized,0.0725827666465193,0.0030450810988485776,0.0694290999090299,0.07669919996988028,3.0247395833333335,9.07421875
2000,NumPy (BLAS),0.15900039998814464,0.003782236610075641,0.15393619996029884,0.16302360000554472,11.182291666666666,33.546875
2000,Strassen,1.4583834334043786,0.02344685595603027,1.4253111000871286,1.4769928000168875,10.188802083333334,30.56640625
2000,Cache Optimized,0.48166999996950227,0.07618542635416509,0.41644179995637387,0.5885490999789909,10.73046875,32.0390625
