size,sparsity,actual_sparsity,method,avg_time,std_time,min_time,max_time,avg_memory_mb,max_memory_mb
100,50.0,49.36000000000001,CSR Format,0.0011511999958505232,0.00065042199025765,0.0006418999982997775,0.0020692000398412347,0.013020833333333334,0.01953125
100,50.0,49.36000000000001,CSC Format,0.001172866711082558,0.0007460895345458731,0.0006101999897509813,0.002227200078777969,0.0026041666666666665,0.0078125
100,50.0,49.36000000000001,Dense (NumPy),0.00016743336648990711,1.525262002215785e-05,0.00015630002599209547,0.00018900004215538502,0.0,0.0
100,70.0,69.28,CSR Format,0.00038333330303430557,1.2114494103862867e-05,0.0003719000378623605,0.00040009990334510803,0.0,0.0
100,70.0,69.28,CSC Format,0.00038416664271305007,1.4453191250131714e-05,0.00037350005004554987,0.0004045999376103282,0.0,0.0
100,70.0,69.28,Dense (NumPy),0.0001230000052601099,3.525991012105631e-05,8.729996625334024e-05,0.00017100002150982618,0.0,0.0
100,90.0,89.79,CSR Format,0.00016909996823718151,1.1176196050102418e-05,0.00015909993089735508,0.00018470000941306353,0.0,0.0
100,90.0,89.79,CSC Format,0.0001895333407446742,2.0076589398429577e-05,0.0001743000466376543,0.00021790002938359976,0.0,0.0
100,90.0,89.79,Dense (NumPy),0.00010946668529262145,8.753766835874968e-06,0.00010040006600320339,0.00012129999231547117,0.0,0.0
100,95.0,94.75,CSR Format,8.640003701051076e-05,1.2849957082701737e-05,6.959994789212942e-05,0.00010080006904900074,0.0,0.0
100,95.0,94.75,CSC Format,0.00012290000449866056,5.072459753213442e-05,7.910002022981644e-05,0.00019400008022785187,0.0,0.0
100,95.0,94.75,Dense (NumPy),0.00010663333038489024,2.554426362337128e-05,7.189996540546417e-05,0.00013259996194392443,0.0,0.0
100,99.0,98.83,CSR Format,6.886664777994156e-05,1.556178663967481e-05,5.4999953135848045e-05,9.059999138116837e-05,0.0013020833333333333,0.00390625
100,99.0,98.83,CSC Format,6.67000034203132e-05,1.383253504044513e-05,5.5600074119865894e-05,8.619995787739754e-05,0.0,0.0
100,99.0,98.83,Dense (NumPy),7.510002857695024e-05,1.4358934615408913e-05,5.6900084018707275e-05,9.200000204145908e-05,0.0,0.0
500,50.0,49.912,CSR Format,0.05337553327747931,0.00045267542632936714,0.05273579992353916,0.053716099937446415,0.9557291666666666,1.91015625
500,50.0,49.912,CSC Format,0.05352706663931409,0.0002833423117653427,0.0531730999937281,0.0538666999200359,0.9557291666666666,1.91015625
500,50.0,49.912,Dense (NumPy),0.0031821333492795625,0.0004290229829734267,0.0028194000478833914,0.0037847000639885664,0.63671875,1.91015625
500,70.0,70.0576,CSR Format,0.023705133353359997,0.0009233467132022599,0.02259119995869696,0.024852200062014163,1.2734375,2.86328125
500,70.0,70.0576,CSC Format,0.02411006666564693,0.001325564561755814,0.022568200016394258,0.025804399978369474,1.0846354166666667,2.296875
500,70.0,70.0576,Dense (NumPy),0.004398300002018611,0.00042845401573655636,0.004054499906487763,0.005002300022169948,0.63671875,1.91015625
500,90.0,90.0632,CSR Format,0.006889299994024138,0.00013089375411147412,0.0067875999957323074,0.007074099965393543,1.07421875,2.84765625
500,90.0,90.0632,CSC Format,0.006889833370223641,0.00019605309273762936,0.00673860008828342,0.00716670008841902,0.6328125,1.8984375
500,90.0,90.0632,Dense (NumPy),0.0032751000253483653,0.00026502984263686313,0.002922200015746057,0.0035608999896794558,0.63671875,1.91015625
500,95.0,95.0208,CSR Format,0.0037897333580379686,1.8024899030508624e-05,0.003768299939110875,0.003812400042079389,0.84375,1.8515625
500,95.0,95.0208,CSC Format,0.0035814333241432905,0.00010577247114760607,0.0034747999161481857,0.0037255999632179737,0.4557291666666667,1.3671875
500,95.0,95.0208,Dense (NumPy),0.003423533324773113,0.0005800346636021292,0.002614900004118681,0.003947200020775199,0.63671875,1.91015625
500,99.0,99.028,CSR Format,0.00019010005053132772,5.020302231856838e-05,0.00014830008149147034,0.0002607000060379505,0.0026041666666666665,0.0078125
500,99.0,99.028,CSC Format,0.0001698666795467337,2.3432375102937882e-05,0.00015279999934136868,0.00020300003234297037,0.0,0.0
